Permutation,SkewScore,SatisfiedPairs,DMT12,DMT4,DMT5,DMT15,DMT9,DMT10,DMT6,DMT11,DMT1,DMT3,DMT13,DMT8,DMT2,DMT14
"['Materials', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Structures', 'Instrumentation']",0.619,6,1.21,5.486,5.606,3.779,9.129,5.068,4.968,3.81,2.124,2.602,2.739,2.272,3.679,4.455
"['Materials', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Structures', 'Thermofluids']",0.618,7,1.302,7.071,4.82,4.155,8.677,4.492,4.513,2.571,1.46,3.52,3.446,2.032,4.175,4.408
"['Thermofluids', 'Materials', 'Instrumentation', 'Dynamics', 'Structures', 'Mechanisms']",0.618,7,1.235,4.65,6.972,4.045,5.097,9.191,7.102,5.48,0.586,6.394,6.135,1.528,1.956,1.566
"['Materials', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Structures', 'Thermofluids']",0.617,6,1.634,6.122,5.152,3.87,9.341,4.492,4.513,3.567,2.124,2.572,2.497,2.696,3.891,4.455
"['Thermofluids', 'Materials', 'Instrumentation', 'Mechanisms', 'Structures', 'Dynamics']",0.617,8,1.469,3.983,7.205,3.845,5.564,9.191,7.102,6.18,1.052,5.728,5.468,1.995,1.756,1.6
"['Thermofluids', 'Materials', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Structures']",0.617,7,1.353,4.149,7.089,4.126,5.448,9.191,6.87,6.064,0.821,6.009,5.634,1.763,1.806,1.649
"['Thermofluids', 'Materials', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Structures']",0.617,7,1.218,4.534,6.954,4.242,5.178,9.191,6.87,5.659,0.551,6.394,6.019,1.493,1.921,1.63
"['Materials', 'Structures', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Instrumentation']",0.616,6,1.463,6.275,5.474,2.515,8.847,4.49,6.16,2.606,2.63,2.217,3.143,2.778,4.185,4.426
"['Materials', 'Structures', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Instrumentation']",0.615,6,1.667,5.693,5.678,2.341,9.254,4.49,6.16,3.217,3.037,1.635,2.561,3.185,4.011,4.455
"['Materials', 'Structures', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Thermofluids']",0.615,6,1.642,6.543,5.282,2.553,8.936,4.247,5.968,2.504,2.63,2.204,3.041,2.957,4.275,4.426
"['Materials', 'Structures', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Thermofluids']",0.614,6,1.846,5.961,5.486,2.379,9.343,4.247,5.968,3.115,3.037,1.622,2.459,3.364,4.1,4.455
"['Materials', 'Dynamics', 'Structures', 'Mechanisms', 'Thermofluids', 'Instrumentation']",0.614,6,1.072,6.833,5.084,3.464,8.456,4.49,5.379,2.215,1.849,3.165,3.701,1.997,4.352,4.593
"['Materials', 'Dynamics', 'Structures', 'Mechanisms', 'Instrumentation', 'Thermofluids']",0.613,6,1.251,7.101,4.892,3.502,8.545,4.247,5.187,2.113,1.849,3.152,3.599,2.176,4.442,4.593
"['Materials', 'Mechanisms', 'Structures', 'Dynamics', 'Thermofluids', 'Instrumentation']",0.612,5,1.608,5.302,5.619,3.005,9.527,4.49,5.379,3.822,2.92,1.635,2.171,3.068,3.893,4.67
"['Materials', 'Dynamics', 'Mechanisms', 'Structures', 'Thermofluids', 'Instrumentation']",0.612,6,1.036,6.593,5.048,3.871,8.624,4.49,4.9,2.587,1.777,3.165,3.461,1.925,4.281,4.725
"['Instrumentation', 'Materials', 'Thermofluids', 'Structures', 'Mechanisms', 'Dynamics']",0.611,9,3.147,6.624,5.455,3.93,6.28,6.945,5.646,4.988,1.1,5.609,4.681,3.698,2.631,1.512
