Permutation,SkewScore,SatisfiedPairs,DMT10,DMT4,DMT5,DMT6,DMT11,DMT3,DMT9,DMT12,DMT15,DMT13,DMT14,DMT8,DMT1,DMT2,DMT7
"['Mechanisms', 'Materials', 'Instrumentation', 'Thermofluids', 'Structures', 'Dynamics']",0.506,7,4.417,3.983,5.136,3.919,6.339,2.545,7.792,2.582,4.482,2.285,4.941,4.223,3.28,3.984,7.553
"['Dynamics', 'Thermofluids', 'Instrumentation', 'Materials', 'Structures', 'Mechanisms']",0.506,7,5.373,6.493,3.98,4.111,3.828,7.925,2.419,1.235,6.402,7.665,4.749,1.528,0.586,5.139,6.029
"['Dynamics', 'Thermofluids', 'Materials', 'Structures', 'Instrumentation', 'Mechanisms']",0.506,7,5.267,6.238,4.34,4.629,3.371,7.002,3.288,0.778,5.786,7.208,5.066,1.23,0.903,5.148,7.206
"['Instrumentation', 'Dynamics', 'Materials', 'Structures', 'Mechanisms', 'Thermofluids']",0.505,6,4.242,7.992,3.377,3.567,3.74,6.558,4.62,3.147,5.503,5.63,3.71,3.698,1.1,4.828,5.751
"['Structures', 'Materials', 'Instrumentation', 'Dynamics', 'Thermofluids', 'Mechanisms']",0.505,7,3.839,6.119,4.873,6.472,3.381,2.826,6.566,2.704,2.261,4.036,4.505,4.466,3.524,4.894,6.994
"['Instrumentation', 'Structures', 'Mechanisms', 'Materials', 'Thermofluids', 'Dynamics']",0.504,6,4.155,5.915,4.118,4.6,5.666,4.642,4.909,4.116,4.123,4.344,3.788,5.635,3.037,4.568,3.843
"['Instrumentation', 'Structures', 'Dynamics', 'Thermofluids', 'Materials', 'Mechanisms']",0.504,5,4.396,6.827,3.729,4.648,4.741,6.276,3.361,3.679,4.691,5.978,3.726,4.761,2.164,4.943,3.543
"['Mechanisms', 'Materials', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Structures']",0.504,7,4.417,4.149,5.02,3.688,6.223,2.826,7.676,2.467,4.763,2.451,4.991,3.991,3.049,4.033,7.718
"['Mechanisms', 'Materials', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Structures']",0.504,7,4.674,3.611,5.294,3.962,6.189,2.87,7.368,1.851,4.824,2.803,5.376,3.375,3.049,4.111,8.104
"['Dynamics', 'Thermofluids', 'Instrumentation', 'Materials', 'Mechanisms', 'Structures']",0.504,7,5.373,6.378,3.963,3.879,4.007,7.925,2.5,1.218,6.599,7.549,4.813,1.493,0.551,5.104,6.11
"['Instrumentation', 'Dynamics', 'Materials', 'Mechanisms', 'Structures', 'Thermofluids']",0.503,8,4.242,7.833,3.353,3.25,3.985,6.558,4.731,3.124,5.773,5.471,3.797,3.65,1.052,4.781,5.862
"['Mechanisms', 'Thermofluids', 'Materials', 'Structures', 'Dynamics', 'Instrumentation']",0.503,7,5.088,2.402,5.598,4.54,7.233,3.165,5.893,1.947,4.734,3.461,5.54,3.745,3.598,4.185,6.333
"['Instrumentation', 'Structures', 'Dynamics', 'Materials', 'Thermofluids', 'Mechanisms']",0.502,7,4.155,7.164,3.681,4.6,4.356,5.891,4.035,3.679,4.498,5.592,3.726,4.761,2.164,4.943,4.217
"['Structures', 'Thermofluids', 'Mechanisms', 'Materials', 'Instrumentation', 'Dynamics']",0.502,7,4.758,3.19,5.579,6.741,5.992,3.152,4.454,2.526,2.811,4.67,5.149,4.725,4.398,4.794,4.523
"['Dynamics', 'Materials', 'Thermofluids', 'Structures', 'Instrumentation', 'Mechanisms']",0.502,7,4.674,7.068,4.222,4.511,2.422,6.053,4.948,0.778,5.312,6.26,5.066,1.23,0.903,5.148,8.866
"['Dynamics', 'Thermofluids', 'Materials', 'Mechanisms', 'Instrumentation', 'Structures']",0.502,8,5.267,5.964,4.299,4.08,3.796,7.002,3.48,0.737,6.253,6.934,5.217,1.148,0.821,5.066,7.398
"['Instrumentation', 'Mechanisms', 'Structures', 'Thermofluids', 'Materials', 'Dynamics']",0.5,9,4.396,5.188,4.107,3.867,6.657,5.028,4.508,4.057,4.98,4.339,4.003,5.518,2.92,4.451,3.442
"['Structures', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Materials']",0.5,8,4.79,3.811,5.099,6.466,5.997,4.357,3.188,2.938,3.3,5.566,4.819,4.933,3.991,4.976,3.23
"['Structures', 'Thermofluids', 'Dynamics', 'Materials', 'Instrumentation', 'Mechanisms']",0.5,9,4.758,4.439,5.142,6.741,4.681,4.401,3.58,2.089,3.185,5.918,5.086,3.851,3.524,5.168,4.898
"['Mechanisms', 'Thermofluids', 'Materials', 'Dynamics', 'Structures', 'Instrumentation']",0.5,7,5.088,2.628,5.439,4.222,7.075,3.551,5.734,1.788,5.119,3.688,5.608,3.428,3.28,4.253,6.559
"['Dynamics', 'Materials', 'Instrumentation', 'Thermofluids', 'Structures', 'Mechanisms']",0.5,7,4.417,7.833,3.789,3.919,2.297,6.394,5.097,1.235,5.636,6.135,4.749,1.528,0.586,5.139,8.708
"['Instrumentation', 'Mechanisms', 'Structures', 'Materials', 'Thermofluids', 'Dynamics']",0.499,7,4.155,5.525,4.059,3.819,6.272,4.642,5.182,4.057,4.787,3.953,4.003,5.518,2.92,4.451,4.116
"['Structures', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Materials']",0.499,9,4.79,4.197,4.964,6.466,5.592,4.742,2.918,2.803,3.416,5.952,4.8,4.663,3.721,5.091,3.346
"['Mechanisms', 'Materials', 'Thermofluids', 'Structures', 'Dynamics', 'Instrumentation']",0.499,7,4.495,3.232,5.479,4.421,6.285,2.217,7.553,1.947,4.259,2.513,5.54,3.745,3.598,4.185,7.993
"['Dynamics', 'Materials', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Structures']",0.499,8,4.417,7.717,3.772,3.688,2.477,6.394,5.178,1.218,5.833,6.019,4.813,1.493,0.551,5.104,8.789
"['Dynamics', 'Materials', 'Thermofluids', 'Mechanisms', 'Instrumentation', 'Structures']",0.499,8,4.674,6.794,4.181,3.962,2.848,6.053,5.14,0.737,5.778,5.985,5.217,1.148,0.821,5.066,9.058
"['Instrumentation', 'Dynamics', 'Structures', 'Thermofluids', 'Materials', 'Mechanisms']",0.497,5,4.396,7.385,3.338,3.867,4.35,7.225,2.97,3.289,5.639,6.536,3.893,3.98,1.382,5.11,4.101
"['Mechanisms', 'Materials', 'Thermofluids', 'Dynamics', 'Structures', 'Instrumentation']",0.497,7,4.495,3.458,5.321,4.104,6.126,2.602,7.394,1.788,4.645,2.739,5.608,3.428,3.28,4.253,8.219
"['Dynamics', 'Thermofluids', 'Materials', 'Structures', 'Mechanisms', 'Instrumentation']",0.497,7,5.088,5.97,4.349,4.54,3.487,6.733,3.395,0.698,5.804,7.029,5.362,1.248,1.1,5.256,7.403
"['Instrumentation', 'Dynamics', 'Structures', 'Materials', 'Thermofluids', 'Mechanisms']",0.496,6,4.155,7.722,3.29,3.819,3.965,6.839,3.644,3.289,5.447,6.151,3.893,3.98,1.382,5.11,4.775
"['Structures', 'Thermofluids', 'Mechanisms', 'Instrumentation', 'Materials', 'Dynamics']",0.496,7,4.666,3.221,5.364,6.527,6.237,3.52,3.902,2.771,3.056,4.915,5.149,4.97,4.398,4.917,3.849
"['Mechanisms', 'Thermofluids', 'Instrumentation', 'Structures', 'Materials', 'Dynamics']",0.496,7,5.036,2.466,5.149,4.091,8.028,4.076,4.598,2.741,5.247,3.975,5.259,4.54,3.598,4.301,4.359
"['Structures', 'Materials', 'Mechanisms', 'Thermofluids', 'Instrumentation', 'Dynamics']",0.496,6,3.801,4.529,5.387,6.55,4.462,1.622,7.132,2.526,2.046,3.139,5.149,4.725,4.398,4.794,7.201
"['Dynamics', 'Thermofluids', 'Materials', 'Mechanisms', 'Structures', 'Instrumentation']",0.495,8,5.088,5.811,4.326,4.222,3.733,6.733,3.506,0.674,6.074,6.871,5.449,1.2,1.052,5.208,7.514
"['Structures', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Materials', 'Dynamics']",0.494,8,4.217,4.682,4.699,6.065,5.652,4.032,3.982,3.541,3.148,4.94,4.538,5.537,3.991,4.996,3.441
"['Structures', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Materials', 'Mechanisms']",0.494,9,4.666,4.469,4.927,6.527,4.926,4.769,3.028,2.334,3.431,6.163,5.086,4.096,3.524,5.291,4.223
"['Structures', 'Materials', 'Dynamics', 'Thermofluids', 'Instrumentation', 'Mechanisms']",0.494,6,3.801,5.778,4.95,6.55,3.151,2.87,6.258,2.089,2.42,4.388,5.086,3.851,3.524,5.168,7.576
"['Dynamics', 'Materials', 'Thermofluids', 'Structures', 'Mechanisms', 'Instrumentation']",0.494,7,4.495,6.8,4.231,4.421,2.538,5.784,5.055,0.698,5.33,6.081,5.362,1.248,1.1,5.256,9.063
"['Structures', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Materials', 'Mechanisms']",0.493,8,4.217,5.348,4.465,6.065,4.952,4.699,3.515,3.308,3.348,5.607,4.505,5.07,3.524,5.196,3.641
"['Structures', 'Thermofluids', 'Mechanisms', 'Materials', 'Dynamics', 'Instrumentation']",0.493,7,4.579,3.203,5.489,6.652,5.813,3.165,4.365,2.347,2.913,4.772,5.43,4.546,4.398,4.986,4.804
"['Instrumentation', 'Structures', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Materials']",0.492,6,4.149,5.613,3.92,4.402,6.052,5.309,3.742,4.116,4.597,5.011,4.07,5.635,3.037,4.85,2.957
"['Instrumentation', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Materials', 'Structures']",0.492,8,4.396,5.922,3.593,2.839,6.143,6.276,3.994,3.543,6.229,5.073,4.223,4.49,1.892,4.672,4.176
"['Mechanisms', 'Instrumentation', 'Thermofluids', 'Materials', 'Structures', 'Dynamics']",0.492,7,4.554,3.55,4.681,3.464,7.524,4.032,5.415,3.186,5.376,3.471,4.941,4.826,3.28,4.286,4.875
"['Structures', 'Materials', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Thermofluids']",0.492,6,3.417,5.734,4.825,6.191,3.799,2.16,7.033,2.938,2.202,3.369,4.819,4.933,3.991,4.976,7.075
"['Structures', 'Thermofluids', 'Dynamics', 'Materials', 'Mechanisms', 'Instrumentation']",0.492,9,4.579,4.17,5.151,6.652,4.798,4.132,3.688,2.008,3.203,5.739,5.382,3.869,3.721,5.276,5.095
"['Dynamics', 'Materials', 'Thermofluids', 'Mechanisms', 'Structures', 'Instrumentation']",0.492,8,4.495,6.641,4.207,4.104,2.784,5.784,5.167,0.674,5.599,5.922,5.449,1.2,1.052,5.208,9.174
"['Instrumentation', 'Structures', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Materials']",0.491,5,4.149,6.581,3.581,4.402,5.036,6.276,3.065,3.778,4.888,5.978,4.021,4.958,2.36,5.14,3.248
"['Structures', 'Materials', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Thermofluids']",0.491,7,3.417,6.119,4.69,6.191,3.395,2.545,6.763,2.803,2.317,3.754,4.8,4.663,3.721,5.091,7.191
"['Mechanisms', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Materials', 'Structures']",0.491,8,5.036,2.858,4.875,3.542,7.753,4.742,4.323,2.467,5.913,4.367,5.376,3.991,3.049,4.419,4.751
"['Instrumentation', 'Mechanisms', 'Dynamics', 'Materials', 'Thermofluids', 'Structures']",0.49,7,4.155,6.259,3.545,2.79,5.758,5.891,4.668,3.543,6.036,4.688,4.223,4.49,1.892,4.672,4.851
"['Structures', 'Instrumentation', 'Materials', 'Mechanisms', 'Thermofluids', 'Dynamics']",0.49,6,3.613,5.528,4.578,5.944,4.684,3.065,5.674,3.541,2.665,3.973,4.538,5.537,3.991,4.996,5.134
"['Instrumentation', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Materials', 'Structures']",0.49,9,4.396,6.871,3.261,2.839,5.147,7.225,3.33,3.211,6.513,6.022,4.176,3.825,1.228,4.956,4.461
"['Mechanisms', 'Instrumentation', 'Materials', 'Thermofluids', 'Structures', 'Dynamics']",0.49,7,4.191,4.059,4.608,3.391,6.942,3.451,6.433,3.186,5.085,2.889,4.941,4.826,3.28,4.286,5.893
"['Mechanisms', 'Instrumentation', 'Thermofluids', 'Materials', 'Dynamics', 'Structures']",0.49,7,4.554,3.715,4.565,3.232,7.408,4.314,5.299,3.07,5.657,3.636,4.991,4.595,3.049,4.335,5.04
"['Dynamics', 'Thermofluids', 'Instrumentation', 'Structures', 'Materials', 'Mechanisms']",0.49,7,5.036,6.315,3.802,4.091,3.986,7.925,1.903,1.394,6.402,7.824,5.066,1.846,0.903,5.456,5.514
"['Instrumentation', 'Structures', 'Mechanisms', 'Materials', 'Dynamics', 'Thermofluids']",0.489,6,3.733,6.197,3.836,4.319,5.385,4.642,4.909,4.116,4.264,4.344,4.07,5.635,3.037,4.85,4.124
"['Structures', 'Instrumentation', 'Materials', 'Dynamics', 'Thermofluids', 'Mechanisms']",0.489,7,3.613,6.194,4.344,5.944,3.984,3.732,5.208,3.308,2.865,4.64,4.505,5.07,3.524,5.196,5.334
"['Instrumentation', 'Dynamics', 'Mechanisms', 'Materials', 'Thermofluids', 'Structures']",0.489,8,4.155,7.208,3.213,2.79,4.762,6.839,4.004,3.211,6.321,5.636,4.176,3.825,1.228,4.956,5.135
"['Structures', 'Materials', 'Mechanisms', 'Instrumentation', 'Thermofluids', 'Dynamics']",0.489,6,3.469,4.897,5.125,6.287,4.321,1.604,7.255,2.771,2.098,2.999,5.149,4.97,4.398,4.917,7.201
"['Mechanisms', 'Materials', 'Instrumentation', 'Structures', 'Thermofluids', 'Dynamics']",0.489,6,3.839,4.142,4.91,3.851,6.112,2.16,7.95,2.741,4.289,2.059,5.259,4.54,3.598,4.301,7.711
"['Instrumentation', 'Structures', 'Dynamics', 'Materials', 'Mechanisms', 'Thermofluids']",0.488,6,3.733,7.164,3.498,4.319,4.37,5.609,4.232,3.778,4.554,5.311,4.021,4.958,2.36,5.14,4.414
"['Mechanisms', 'Instrumentation', 'Materials', 'Thermofluids', 'Dynamics', 'Structures']",0.488,6,4.191,4.224,4.492,3.159,6.827,3.732,6.317,3.07,5.367,3.055,4.991,4.595,3.049,4.335,6.058
"['Mechanisms', 'Thermofluids', 'Structures', 'Materials', 'Instrumentation', 'Dynamics']",0.488,7,4.758,2.119,5.418,4.599,7.652,3.152,5.204,2.365,4.631,3.599,5.738,4.404,4.077,4.473,5.273
"['Instrumentation', 'Mechanisms', 'Structures', 'Thermofluids', 'Dynamics', 'Materials']",0.487,8,4.149,5.223,3.861,3.621,6.657,5.309,4.016,4.057,5.261,4.62,4.284,5.518,2.92,4.733,3.231
"['Structures', 'Materials', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Instrumentation']",0.487,6,3.622,4.542,5.298,6.46,4.282,1.635,7.043,2.347,2.148,3.241,5.43,4.546,4.398,4.986,7.483
"['Structures', 'Materials', 'Dynamics', 'Instrumentation', 'Thermofluids', 'Mechanisms']",0.487,6,3.469,6.146,4.688,6.287,3.011,2.853,6.381,2.334,2.473,4.247,5.086,4.096,3.524,5.291,7.576
"['Dynamics', 'Instrumentation', 'Thermofluids', 'Materials', 'Structures', 'Mechanisms']",0.487,6,4.554,7.399,3.333,3.464,3.483,7.882,2.721,1.839,6.531,7.32,4.749,2.132,0.586,5.44,6.029
"['Structures', 'Materials', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Instrumentation']",0.486,6,3.622,5.509,4.959,6.46,3.267,2.602,6.366,2.008,2.438,4.208,5.382,3.869,3.721,5.276,7.773
"['Dynamics', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Materials', 'Structures']",0.486,7,5.036,6.04,3.761,3.542,4.412,7.925,2.095,1.353,6.868,7.549,5.217,1.763,0.821,5.374,5.706
"['Dynamics', 'Instrumentation', 'Materials', 'Thermofluids', 'Structures', 'Mechanisms']",0.485,7,4.191,7.908,3.261,3.391,2.901,7.3,3.739,1.839,6.24,6.738,4.749,2.132,0.586,5.44,7.047
"['Dynamics', 'Instrumentation', 'Thermofluids', 'Materials', 'Mechanisms', 'Structures']",0.485,7,4.554,7.283,3.316,3.232,3.662,7.882,2.802,1.822,6.728,7.204,4.813,2.097,0.551,5.406,6.11
"['Instrumentation', 'Mechanisms', 'Structures', 'Materials', 'Dynamics', 'Thermofluids']",0.484,7,3.733,5.806,3.778,3.537,5.991,4.642,5.182,4.057,4.928,3.953,4.284,5.518,2.92,4.733,4.398
"['Instrumentation', 'Dynamics', 'Structures', 'Thermofluids', 'Mechanisms', 'Materials']",0.484,6,4.149,7.139,3.191,3.621,4.646,7.225,2.675,3.387,5.836,6.536,4.189,4.177,1.579,5.307,3.806
"['Mechanisms', 'Materials', 'Instrumentation', 'Dynamics', 'Thermofluids', 'Structures']",0.484,6,3.839,4.534,4.635,3.302,5.838,2.826,7.676,2.467,4.956,2.451,5.376,3.991,3.049,4.419,8.104
"['Dynamics', 'Instrumentation', 'Materials', 'Thermofluids', 'Mechanisms', 'Structures']",0.483,8,4.191,7.792,3.243,3.159,3.08,7.3,3.82,1.822,6.437,6.623,4.813,2.097,0.551,5.406,7.129
"['Dynamics', 'Materials', 'Instrumentation', 'Structures', 'Thermofluids', 'Mechanisms']",0.483,7,3.839,7.991,3.562,3.851,2.07,6.009,5.256,1.394,5.444,5.908,5.066,1.846,0.903,5.456,8.866
"['Structures', 'Thermofluids', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Materials']",0.482,8,4.42,3.256,5.118,6.28,6.237,3.802,3.41,2.771,3.337,5.196,5.43,4.97,4.398,5.198,3.638
"['Mechanisms', 'Thermofluids', 'Instrumentation', 'Structures', 'Dynamics', 'Materials']",0.482,9,4.79,2.501,4.903,3.845,8.028,4.357,4.105,2.741,5.528,4.256,5.54,4.54,3.598,4.583,4.148
"['Mechanisms', 'Materials', 'Structures', 'Thermofluids', 'Instrumentation', 'Dynamics']",0.482,7,3.801,3.458,5.227,4.408,6.122,1.622,7.882,2.365,3.866,2.068,5.738,4.404,4.077,4.473,7.951
"['Dynamics', 'Thermofluids', 'Structures', 'Materials', 'Instrumentation', 'Mechanisms']",0.482,7,4.758,5.969,4.071,4.599,3.61,7.002,2.509,1.018,5.786,7.448,5.545,1.709,1.382,5.627,6.428
"['Instrumentation', 'Dynamics', 'Structures', 'Materials', 'Mechanisms', 'Thermofluids']",0.481,7,3.733,7.722,3.107,3.537,3.979,6.558,3.841,3.387,5.503,5.869,4.189,4.177,1.579,5.307,4.972
"['Mechanisms', 'Thermofluids', 'Structures', 'Instrumentation', 'Materials', 'Dynamics']",0.481,7,4.666,2.15,5.203,4.385,7.897,3.52,4.652,2.61,4.877,3.844,5.738,4.649,4.077,4.595,4.598
"['Structures', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Materials']",0.481,9,4.42,4.223,4.779,6.28,5.222,4.769,2.733,2.433,3.627,6.163,5.382,4.293,3.721,5.488,3.928
"['Instrumentation', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Structures', 'Materials']",0.48,7,4.149,5.792,3.463,2.824,6.259,6.276,3.618,3.659,6.229,5.189,4.455,4.721,2.124,4.903,3.8
"['Structures', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Materials']",0.48,8,3.971,4.717,4.452,5.819,5.652,4.314,3.49,3.541,3.43,5.221,4.819,5.537,3.991,5.278,3.23
"['Structures', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Materials']",0.48,7,3.971,5.102,4.318,5.819,5.247,4.699,3.22,3.406,3.545,5.607,4.8,5.267,3.721,5.393,3.346
"['Instrumentation', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Structures', 'Materials']",0.479,8,4.149,6.74,3.131,2.824,5.263,7.225,2.953,3.327,6.513,6.138,4.408,4.057,1.46,5.188,4.084
"['Mechanisms', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Structures', 'Materials']",0.479,9,4.79,2.728,4.744,3.527,7.869,4.742,3.947,2.582,5.913,4.483,5.608,4.223,3.28,4.651,4.375
"['Mechanisms', 'Thermofluids', 'Structures', 'Materials', 'Dynamics', 'Instrumentation']",0.479,7,4.579,2.132,5.329,4.51,7.473,3.165,5.114,2.186,4.734,3.701,6.019,4.225,4.077,4.664,5.554
"['Mechanisms', 'Thermofluids', 'Dynamics', 'Materials', 'Instrumentation', 'Structures']",0.479,7,4.758,2.854,4.904,3.571,7.138,4.401,4.69,1.851,5.88,4.333,5.958,3.375,3.049,4.693,6.007
"['Dynamics', 'Materials', 'Instrumentation', 'Mechanisms', 'Thermofluids', 'Structures']",0.479,9,3.839,7.717,3.521,3.302,2.496,6.009,5.448,1.353,5.91,5.634,5.217,1.763,0.821,5.374,9.058
"['Instrumentation', 'Mechanisms', 'Dynamics', 'Materials', 'Structures', 'Thermofluids']",0.478,7,3.733,6.375,3.38,2.741,5.592,5.609,4.784,3.659,5.895,4.522,4.455,4.721,2.124,4.903,4.967
"['Mechanisms', 'Instrumentation', 'Thermofluids', 'Structures', 'Materials', 'Dynamics']",0.477,8,4.217,3.371,4.502,3.444,7.683,4.032,4.899,3.345,5.376,3.63,5.259,5.144,3.598,4.603,4.359
"['Dynamics', 'Thermofluids', 'Instrumentation', 'Structures', 'Mechanisms', 'Materials']",0.477,7,4.79,6.069,3.654,3.845,4.282,7.925,1.608,1.492,6.599,7.824,5.362,2.042,1.1,5.653,5.218
"['Structures', 'Instrumentation', 'Materials', 'Mechanisms', 'Dynamics', 'Thermofluids']",0.476,6,3.19,5.809,4.296,5.663,4.403,3.065,5.674,3.541,2.805,3.973,4.819,5.537,3.991,5.278,5.415
"['Instrumentation', 'Dynamics', 'Mechanisms', 'Materials', 'Structures', 'Thermofluids']",0.476,8,3.733,7.324,3.048,2.741,4.596,6.558,4.12,3.327,6.18,5.471,4.408,4.057,1.46,5.188,5.251
"['Dynamics', 'Thermofluids', 'Structures', 'Instrumentation', 'Materials', 'Mechanisms']",0.476,7,4.666,5.999,3.856,4.385,3.856,7.37,1.958,1.263,6.031,7.693,5.545,1.954,1.382,5.75,5.753
"['Dynamics', 'Materials', 'Structures', 'Thermofluids', 'Instrumentation', 'Mechanisms']",0.476,7,3.801,7.308,3.879,4.408,2.08,5.471,5.188,1.018,5.021,5.918,5.545,1.709,1.382,5.627,9.106
"['Structures', 'Instrumentation', 'Materials', 'Dynamics', 'Mechanisms', 'Thermofluids']",0.475,6,3.19,6.194,4.162,5.663,3.999,3.451,5.405,3.406,2.921,4.358,4.8,5.267,3.721,5.393,5.531
"['Structures', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Materials', 'Instrumentation']",0.475,7,4.242,3.251,5.152,6.315,5.813,3.551,3.69,2.347,3.298,5.157,5.815,4.546,4.398,5.371,4.515
"['Dynamics', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Structures', 'Materials']",0.475,8,4.79,5.91,3.63,3.527,4.528,7.925,1.719,1.469,6.868,7.665,5.449,1.995,1.052,5.605,5.329
"['Dynamics', 'Thermofluids', 'Mechanisms', 'Materials', 'Instrumentation', 'Structures']",0.475,7,4.758,5.455,3.994,3.571,4.407,7.002,2.869,0.941,6.66,6.934,5.828,1.555,1.228,5.473,6.787
"['Structures', 'Materials', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Thermofluids']",0.474,7,3.047,5.178,4.843,6.006,4.04,1.604,7.255,2.771,2.239,2.999,5.43,4.97,4.398,5.198,7.483
"['Mechanisms', 'Materials', 'Instrumentation', 'Structures', 'Dynamics', 'Thermofluids']",0.474,6,3.417,4.423,4.628,3.57,5.831,2.16,7.95,2.741,4.43,2.059,5.54,4.54,3.598,4.583,7.993
"['Mechanisms', 'Materials', 'Structures', 'Instrumentation', 'Thermofluids', 'Dynamics']",0.474,6,3.469,3.826,4.964,4.145,5.981,1.604,8.005,2.61,3.919,1.928,5.738,4.649,4.077,4.595,7.951
"['Structures', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Materials', 'Instrumentation']",0.474,8,4.242,3.833,4.948,6.315,5.202,4.132,3.283,2.143,3.473,5.739,5.786,4.139,3.991,5.546,4.69
"['Dynamics', 'Thermofluids', 'Structures', 'Materials', 'Mechanisms', 'Instrumentation']",0.474,7,4.579,5.7,4.08,4.51,3.727,6.733,2.617,0.937,5.804,7.269,5.841,1.727,1.579,5.735,6.625
"['Mechanisms', 'Instrumentation', 'Materials', 'Structures', 'Thermofluids', 'Dynamics']",0.473,6,3.613,4.217,4.381,3.323,6.716,3.065,6.592,3.345,4.893,2.662,5.259,5.144,3.598,4.603,6.051
"['Structures', 'Materials', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Thermofluids']",0.473,6,3.047,6.146,4.505,6.006,3.025,2.572,6.578,2.433,2.529,3.966,5.382,4.293,3.721,5.488,7.773
"['Mechanisms', 'Materials', 'Structures', 'Thermofluids', 'Dynamics', 'Instrumentation']",0.473,7,3.622,3.471,5.137,4.318,5.942,1.635,7.793,2.186,3.968,2.171,6.019,4.225,4.077,4.664,8.232
"['Mechanisms', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Materials', 'Structures']",0.473,8,4.666,2.884,4.689,3.357,7.383,4.769,4.138,2.096,6.125,4.578,5.958,3.621,3.049,4.815,5.333
"['Mechanisms', 'Materials', 'Dynamics', 'Thermofluids', 'Instrumentation', 'Structures']",0.473,6,3.801,4.193,4.713,3.38,5.607,2.87,7.368,1.851,5.115,2.803,5.958,3.375,3.049,4.693,8.685
"['Instrumentation', 'Structures', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Materials']",0.472,6,3.571,5.999,3.534,4.017,5.666,5.309,3.742,4.116,4.79,5.011,4.455,5.635,3.037,5.235,3.343
"['Mechanisms', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Materials', 'Structures']",0.472,8,4.217,3.763,4.228,2.895,7.408,4.699,4.625,3.07,6.043,4.022,5.376,4.595,3.049,4.721,4.751
"['Mechanisms', 'Thermofluids', 'Dynamics', 'Materials', 'Structures', 'Instrumentation']",0.472,7,4.579,2.701,4.93,3.713,7.075,4.132,4.716,1.788,5.701,4.27,6.19,3.428,3.28,4.835,6.123
"['Instrumentation', 'Structures', 'Mechanisms', 'Dynamics', 'Materials', 'Thermofluids']",0.471,7,3.396,6.245,3.499,3.981,5.385,5.028,4.235,4.116,4.649,4.729,4.455,5.635,3.037,5.235,3.835
"['Instrumentation', 'Structures', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Materials']",0.471,5,3.571,6.581,3.331,4.017,5.056,5.891,3.335,3.912,4.965,5.592,4.426,5.228,2.63,5.41,3.517
"['Mechanisms', 'Materials', 'Instrumentation', 'Dynamics', 'Structures', 'Thermofluids']",0.471,7,3.417,4.65,4.47,3.253,5.672,2.545,7.792,2.582,4.815,2.285,5.608,4.223,3.28,4.651,8.219
"['Dynamics', 'Instrumentation', 'Thermofluids', 'Structures', 'Materials', 'Mechanisms']",0.471,7,4.217,7.221,3.155,3.444,3.641,7.882,2.205,1.998,6.531,7.479,5.066,2.449,0.903,5.758,5.514
"['Instrumentation', 'Structures', 'Dynamics', 'Mechanisms', 'Materials', 'Thermofluids']",0.47,5,3.396,6.827,3.296,3.981,4.774,5.609,3.827,3.912,4.824,5.311,4.426,5.228,2.63,5.41,4.01
"['Structures', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Materials']",0.47,8,4.175,3.273,4.995,6.158,5.992,3.819,3.287,2.526,3.477,5.336,5.815,4.725,4.398,5.461,4.023
