Permutation,SkewScore,SatisfiedPairs,DMT10,DMT4,DMT5,DMT6,DMT11,DMT3,DMT9,DMT12,DMT15,DMT13,DMT14,DMT8,DMT1,DMT2,DMT7
"['Materials', 'Thermofluids', 'Structures', 'Dynamics', 'Mechanisms', 'Instrumentation']",0.627,7,7.364,5.302,6.865,7.295,3.727,3.551,8.186,0.937,2.621,4.086,2.658,1.727,1.579,2.552,9.011
"['Thermofluids', 'Materials', 'Dynamics', 'Mechanisms', 'Structures', 'Instrumentation']",0.627,8,8.396,4.04,6.808,6.705,5.385,5.784,5.167,0.674,4.299,5.922,2.848,1.2,1.052,2.607,6.574
"['Thermofluids', 'Instrumentation', 'Mechanisms', 'Materials', 'Structures', 'Dynamics']",0.624,7,8.455,3.55,6.371,6.064,7.394,6.633,3.595,2.276,4.856,6.072,2.21,3.006,1.46,2.465,3.054
"['Materials', 'Thermofluids', 'Mechanisms', 'Structures', 'Dynamics', 'Instrumentation']",0.624,8,7.364,4.677,6.963,6.815,4.503,3.165,8.624,1.036,2.913,3.461,2.809,1.925,1.777,2.365,9.063
"['Materials', 'Thermofluids', 'Dynamics', 'Structures', 'Mechanisms', 'Instrumentation']",0.623,6,7.364,5.644,6.625,6.815,3.487,4.132,7.947,0.698,3.203,4.429,2.761,1.248,1.1,2.655,9.354
"['Thermofluids', 'Instrumentation', 'Mechanisms', 'Materials', 'Dynamics', 'Structures']",0.622,7,8.455,3.715,6.255,5.833,7.278,6.915,3.479,2.16,5.137,6.237,2.26,2.774,1.228,2.515,3.219
"['Thermofluids', 'Instrumentation', 'Dynamics', 'Materials', 'Structures', 'Mechanisms']",0.622,6,8.455,4.798,5.934,6.064,6.083,7.882,2.721,1.839,5.231,7.32,2.148,2.132,0.586,2.84,3.429
"['Materials', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Structures', 'Instrumentation']",0.622,8,7.364,4.904,6.805,6.498,4.344,3.551,8.465,0.878,3.298,3.688,2.877,1.608,1.46,2.433,9.29
"['Materials', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Structures', 'Instrumentation']",0.621,7,7.364,5.486,6.601,6.498,3.733,4.132,8.058,0.674,3.473,4.27,2.848,1.2,1.052,2.607,9.465
"['Thermofluids', 'Instrumentation', 'Dynamics', 'Materials', 'Mechanisms', 'Structures']",0.62,7,8.455,4.682,5.917,5.833,6.263,7.882,2.802,1.822,5.427,7.204,2.212,2.097,0.551,2.805,3.51
"['Instrumentation', 'Thermofluids', 'Materials', 'Structures', 'Mechanisms', 'Dynamics']",0.619,6,7.538,5.794,5.574,5.764,5.937,6.558,4.62,3.147,4.404,5.63,1.512,3.698,1.1,2.631,3.554
"['Instrumentation', 'Thermofluids', 'Materials', 'Structures', 'Dynamics', 'Mechanisms']",0.619,7,7.538,6.076,5.475,5.764,5.641,6.839,4.423,3.049,4.489,5.911,1.498,3.501,0.903,2.715,3.638
"['Instrumentation', 'Thermofluids', 'Materials', 'Mechanisms', 'Structures', 'Dynamics']",0.617,7,7.538,5.636,5.55,5.447,6.183,6.558,4.731,3.124,4.674,5.471,1.6,3.65,1.052,2.583,3.665
"['Materials', 'Instrumentation', 'Structures', 'Thermofluids', 'Mechanisms', 'Dynamics']",0.617,6,6.466,6.733,6.033,6.463,3.594,3.451,8.885,2.336,2.588,3.287,1.991,3.125,1.579,2.585,8.345
"['Materials', 'Instrumentation', 'Structures', 'Thermofluids', 'Dynamics', 'Mechanisms']",0.617,5,6.466,7.014,5.935,6.463,3.299,3.732,8.688,2.237,2.672,3.569,1.977,2.928,1.382,2.669,8.429
"['Instrumentation', 'Materials', 'Thermofluids', 'Structures', 'Mechanisms', 'Dynamics']",0.616,6,6.945,6.624,5.455,5.646,4.988,5.609,6.28,3.147,3.93,4.681,1.512,3.698,1.1,2.631,5.214
"['Instrumentation', 'Thermofluids', 'Materials', 'Dynamics', 'Structures', 'Mechanisms']",0.616,6,7.538,6.302,5.317,5.447,5.483,7.225,4.264,2.89,4.874,6.138,1.566,3.183,0.586,2.783,3.865
"['Instrumentation', 'Materials', 'Thermofluids', 'Structures', 'Dynamics', 'Mechanisms']",0.615,6,6.945,6.906,5.357,5.646,4.693,5.891,6.083,3.049,4.014,4.962,1.498,3.501,0.903,2.715,5.298
"['Instrumentation', 'Thermofluids', 'Materials', 'Mechanisms', 'Dynamics', 'Structures']",0.615,7,7.538,5.801,5.434,5.215,6.067,6.839,4.615,3.008,4.955,5.636,1.649,3.418,0.821,2.633,3.83
"['Instrumentation', 'Thermofluids', 'Materials', 'Dynamics', 'Mechanisms', 'Structures']",0.615,7,7.538,6.187,5.299,5.215,5.662,7.225,4.345,2.873,5.071,6.022,1.63,3.148,0.551,2.749,3.946
"['Thermofluids', 'Structures', 'Materials', 'Instrumentation', 'Mechanisms', 'Dynamics']",0.615,7,7.99,3.387,6.844,7.664,6.194,5.172,4.238,1.752,3.205,5.887,2.773,2.933,2.36,2.879,4.184
"['Thermofluids', 'Structures', 'Materials', 'Instrumentation', 'Dynamics', 'Mechanisms']",0.615,8,7.99,3.668,6.745,7.664,5.898,5.454,4.041,1.654,3.289,6.168,2.759,2.736,2.164,2.963,4.268
"['Instrumentation', 'Materials', 'Thermofluids', 'Mechanisms', 'Structures', 'Dynamics']",0.614,7,6.945,6.466,5.432,5.328,5.234,5.609,6.391,3.124,4.2,4.522,1.6,3.65,1.052,2.583,5.325
"['Instrumentation', 'Materials', 'Thermofluids', 'Dynamics', 'Structures', 'Mechanisms']",0.613,6,6.945,7.133,5.198,5.328,4.534,6.276,5.925,2.89,4.4,5.189,1.566,3.183,0.586,2.783,5.525
"['Instrumentation', 'Materials', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Structures']",0.612,6,6.945,6.631,5.316,5.097,5.118,5.891,6.275,3.008,4.481,4.688,1.649,3.418,0.821,2.633,5.491
"['Materials', 'Instrumentation', 'Mechanisms', 'Thermofluids', 'Structures', 'Dynamics']",0.612,9,6.466,6.334,5.973,5.667,4.212,3.451,9.164,2.276,3.265,2.889,2.21,3.006,1.46,2.465,8.623
"['Instrumentation', 'Materials', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Structures']",0.611,7,6.945,7.017,5.181,5.097,4.713,6.276,6.006,2.873,4.597,5.073,1.63,3.148,0.551,2.749,5.606
"['Thermofluids', 'Instrumentation', 'Structures', 'Mechanisms', 'Materials', 'Dynamics']",0.611,7,8.118,3.611,6.229,6.524,7.182,6.633,2.911,2.471,4.449,6.47,2.396,3.395,1.849,2.854,2.371
"['Thermofluids', 'Instrumentation', 'Structures', 'Dynamics', 'Materials', 'Mechanisms']",0.61,7,8.118,4.277,5.995,6.524,6.482,7.3,2.444,2.237,4.649,7.137,2.363,2.928,1.382,3.054,2.571
"['Materials', 'Instrumentation', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Structures']",0.61,8,6.466,6.5,5.858,5.435,4.096,3.732,9.048,2.16,3.546,3.055,2.26,2.774,1.228,2.515,8.789
"['Materials', 'Instrumentation', 'Dynamics', 'Thermofluids', 'Structures', 'Mechanisms']",0.61,6,6.466,7.583,5.536,5.667,2.901,4.699,8.29,1.839,3.639,4.138,2.148,2.132,0.586,2.84,8.998
"['Thermofluids', 'Instrumentation', 'Mechanisms', 'Structures', 'Materials', 'Dynamics']",0.608,8,8.118,3.371,6.193,6.045,7.553,6.633,3.079,2.435,4.856,6.23,2.528,3.323,1.777,2.782,2.538
"['Materials', 'Instrumentation', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Structures']",0.608,7,6.466,7.467,5.519,5.435,3.08,4.699,8.371,1.822,3.836,4.022,2.212,2.097,0.551,2.805,9.079
"['Thermofluids', 'Instrumentation', 'Dynamics', 'Structures', 'Materials', 'Mechanisms']",0.606,7,8.118,4.62,5.756,6.045,6.242,7.882,2.205,1.998,5.231,7.479,2.465,2.449,0.903,3.157,2.913
"['Thermofluids', 'Structures', 'Instrumentation', 'Materials', 'Mechanisms', 'Dynamics']",0.605,7,7.852,3.433,6.52,7.34,6.564,5.728,3.405,2.123,3.575,6.257,2.773,3.303,2.36,3.064,3.166
"['Thermofluids', 'Structures', 'Instrumentation', 'Materials', 'Dynamics', 'Mechanisms']",0.605,7,7.852,3.714,6.421,7.34,6.268,6.009,3.208,2.024,3.66,6.538,2.759,3.106,2.164,3.148,3.25
"['Materials', 'Structures', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Dynamics']",0.605,6,6.365,5.662,6.519,7.339,3.593,2.572,8.789,1.752,1.905,3.286,2.773,2.933,2.36,2.879,8.735
"['Materials', 'Structures', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Mechanisms']",0.605,7,6.365,5.944,6.42,7.339,3.297,2.853,8.592,1.654,1.989,3.567,2.759,2.736,2.164,2.963,8.82
"['Thermofluids', 'Mechanisms', 'Materials', 'Instrumentation', 'Structures', 'Dynamics']",0.604,8,7.99,2.598,6.725,6.087,7.416,5.172,4.79,1.634,4.546,5.098,3.207,2.696,2.124,2.642,4.736
"['Thermofluids', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Materials', 'Structures']",0.603,6,8.118,3.763,5.918,5.496,7.278,7.3,2.804,2.16,5.523,6.623,2.645,2.774,1.228,2.9,2.931
"['Thermofluids', 'Structures', 'Materials', 'Mechanisms', 'Instrumentation', 'Dynamics']",0.603,8,7.745,3.019,6.856,7.542,6.353,4.805,4.385,1.642,3.23,5.641,3.177,2.957,2.63,3.026,4.454
"['Thermofluids', 'Mechanisms', 'Materials', 'Instrumentation', 'Dynamics', 'Structures']",0.603,8,7.99,2.763,6.61,5.855,7.301,5.454,4.674,1.518,4.827,5.263,3.256,2.464,1.892,2.692,4.902
"['Thermofluids', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Materials', 'Structures']",0.602,7,8.118,4.345,5.715,5.496,6.668,7.882,2.397,1.956,5.697,7.204,2.616,2.367,0.821,3.075,3.105
"['Thermofluids', 'Structures', 'Materials', 'Dynamics', 'Instrumentation', 'Mechanisms']",0.602,8,7.745,3.686,6.623,7.542,5.653,5.471,3.918,1.409,3.43,6.308,3.144,2.49,2.164,3.226,4.654
"['Thermofluids', 'Dynamics', 'Materials', 'Instrumentation', 'Structures', 'Mechanisms']",0.601,7,7.99,4.795,5.956,6.087,5.109,7.37,3.252,0.865,5.205,7.295,3.097,1.158,0.586,3.301,5.395
"['Thermofluids', 'Dynamics', 'Materials', 'Instrumentation', 'Mechanisms', 'Structures']",0.6,8,7.99,4.679,5.939,5.855,5.289,7.37,3.333,0.848,5.402,7.179,3.16,1.123,0.551,3.267,5.476
"['Materials', 'Instrumentation', 'Structures', 'Mechanisms', 'Thermofluids', 'Dynamics']",0.598,6,5.888,6.733,5.783,6.078,3.614,3.065,9.155,2.471,2.665,2.902,2.396,3.395,1.849,2.854,8.614
"['Thermofluids', 'Instrumentation', 'Structures', 'Mechanisms', 'Dynamics', 'Materials']",0.597,6,7.872,3.646,5.982,6.278,7.182,6.915,2.419,2.471,4.73,6.751,2.677,3.395,1.849,3.136,2.16
"['Thermofluids', 'Instrumentation', 'Structures', 'Dynamics', 'Mechanisms', 'Materials']",0.597,5,7.872,4.031,5.848,6.278,6.777,7.3,2.149,2.336,4.846,7.137,2.658,3.125,1.579,3.251,2.275
"['Materials', 'Instrumentation', 'Structures', 'Dynamics', 'Thermofluids', 'Mechanisms']",0.597,5,5.888,7.399,5.549,6.078,2.914,3.732,8.688,2.237,2.865,3.569,2.363,2.928,1.382,3.054,8.814
